
> jingxin@0.1.0 corpus:gen
> tsx scripts/gen-corpus.ts --resume

Generated D29n8888: juans=6 blocks=2031
Generated D30n8889: juans=2 blocks=166
Generated D31n8890: juans=2 blocks=87
Generated D32n8891: juans=3 blocks=1405
Generated D33n8892: juans=3 blocks=1763
Generated D34n8893: juans=2 blocks=27
Generated D35n8894: juans=5 blocks=949
Generated D36n8895: juans=3 blocks=141
Generated D37n8896: juans=6 blocks=3128
Generated D38n8898: juans=1 blocks=693
Generated D39n8899: juans=1 blocks=435
Generated D40n8903: juans=7 blocks=2149
Generated D41n8904: juans=7 blocks=2039
Generated D42n8905: juans=5 blocks=52
Generated D43n8913: juans=1 blocks=95
Generated D44n8914: juans=14 blocks=1127
Generated D45n8915: juans=1 blocks=11
Generated D46n8930: juans=2 blocks=4191
Generated D47n8936: juans=5 blocks=714
Generated D48n8939: juans=33 blocks=4313
Generated D49n8942: juans=4 blocks=802
Generated D50n8945: juans=1 blocks=453
Generated D51n8948: juans=2 blocks=468
Generated D52n8951: juans=14 blocks=1508
Progress 250/4602 blocks=244487 skipped=0 errors=0
Generated D53n8952: juans=1 blocks=4
Generated D54n8953: juans=1 blocks=11
Generated D55n8954: juans=10 blocks=411
Generated D56n8980: juans=3 blocks=459
Generated D57n9000: juans=3 blocks=99
Generated D58n9010: juans=1 blocks=233
Generated D59n9011: juans=1 blocks=5
Generated D60n9021: juans=1 blocks=271
Generated D61n9025: juans=4 blocks=728
Generated D62n9026: juans=1 blocks=8
Generated D63n9027: juans=1 blocks=6
Generated D64n9031: juans=1 blocks=102
Generated F01n0016: juans=1 blocks=1
Generated F02n0041: juans=1 blocks=9
Generated F02n0069: juans=1 blocks=25
Generated F03n0088: juans=1 blocks=42
Generated F03n0089: juans=1 blocks=21
Generated F03n0100: juans=1 blocks=431
Generated F03n0181: juans=1 blocks=18
Generated F03n0248: juans=1 blocks=15
Generated F12n0546: juans=1 blocks=4
Generated F24n0761: juans=1 blocks=2
Generated F27n1048: juans=1 blocks=3
Generated F27n1050: juans=1 blocks=2
Generated F27n1056: juans=1 blocks=2
Generated F27n1060: juans=1 blocks=1
Generated F27n1061: juans=1 blocks=1
Generated F27n1062: juans=1 blocks=1
Generated F27n1063: juans=1 blocks=2
Generated F27n1064: juans=1 blocks=1
Generated F28n1071: juans=30 blocks=745
Generated F28n1072: juans=22 blocks=404
Generated F28n1076: juans=1 blocks=32
Generated F28n1081: juans=1 blocks=3
Generated F28n1082: juans=1 blocks=1
Generated F28n1083: juans=1 blocks=26
Generated F28n1084: juans=1 blocks=36
Generated F29n1098: juans=1 blocks=17
Generated F29n1099: juans=1 blocks=13
Generated G052n1222: juans=1 blocks=10
Generated G069n1977: juans=1 blocks=8
Generated G083n2073: juans=1 blocks=1
Generated G083n2075: juans=1 blocks=1
Generated G084n2084: juans=1 blocks=1
Generated G084n2086: juans=1 blocks=1
Generated G086n2202: juans=2 blocks=429
Generated G086n2203: juans=1 blocks=88
Generated G103n2241: juans=3 blocks=298
Generated G104n2250: juans=4 blocks=1852
Generated G104n2251: juans=1 blocks=651
Progress 300/4602 blocks=252022 skipped=0 errors=0
Generated G104n2252: juans=1 blocks=2
Generated G104n2253: juans=1 blocks=3
Generated G104n2254: juans=1 blocks=138
Generated G104n2255: juans=1 blocks=1795
Generated G104n2256: juans=1 blocks=15
Generated G104n2257: juans=1 blocks=61
Generated G104n2258: juans=1 blocks=31
Generated G104n2259: juans=1 blocks=47
Generated G104n2260: juans=1 blocks=457
Generated G104n2261: juans=1 blocks=12
Generated G104n2262: juans=1 blocks=76
Generated G104n2263: juans=1 blocks=11
Generated G104n2264: juans=1 blocks=3
Generated G104n2265: juans=1 blocks=1
Generated G104n2266: juans=1 blocks=9
Generated G104n2267: juans=1 blocks=74
Generated G104n2268: juans=1 blocks=15
Generated G104n2269: juans=1 blocks=24
Generated G104n2270: juans=1 blocks=50
Generated G104n2271: juans=1 blocks=37
Generated G104n2272: juans=1 blocks=3
Generated G104n2273: juans=1 blocks=86
Generated G104n2274: juans=1 blocks=1
Generated G104n2275: juans=1 blocks=75
Generated G104n2276: juans=1 blocks=105
